title,subcategory,sub_sub_category
преамбула,"Обязательным условием получения Пользователем доступа к RUTUBE является принятие и соблюдение Пользователем требований и положений, изложенных в Соглашении и следующих документах:","1.8.4 Приложение «Г» к Генеральному пользовательскому соглашению RUTUBE «Интеграция с функционалом специализированных сервисов Монетизационных Интеграторов», размещенное в сети Интернет по адресу: https://rutube.ru/info/donate_agreement/;"
преамбула,"Обязательным условием получения Пользователем доступа к RUTUBE является принятие и соблюдение Пользователем требований и положений, изложенных в Соглашении и следующих документах:","1.8.5 Приложение «Д» к Генеральному пользовательскому соглашению RUTUBE «Прямые запреты, связанные с размещением на RUTUBE Контента», размещенное в сети Интернет по адресу: https://rutube.ru/info/taboo_agreement/;"
преамбула,"Обязательным условием получения Пользователем доступа к RUTUBE является принятие и соблюдение Пользователем требований и положений, изложенных в Соглашении и следующих документах:","1.8.6 Приложение «Е» к Генеральному пользовательскому соглашению RUTUBE «Условия лицензирования Пользователем своего Контента, размещенного им на RUTUBE», размещенное в сети Интернет по адресу: https://rutube.ru/info/ccl_agreement/;"
преамбула,"Обязательным условием получения Пользователем доступа к RUTUBE является принятие и соблюдение Пользователем требований и положений, изложенных в Соглашении и следующих документах:","1.8.7 Приложение «Ж» к Генеральному пользовательскому соглашению RUTUBE «Статус Администрации - информационный посредник», размещенное в сети Интернет по адресу: https://rutube.ru/info/mediator_agreement/;"
преамбула,"Обязательным условием получения Пользователем доступа к RUTUBE является принятие и соблюдение Пользователем требований и положений, изложенных в Соглашении и следующих документах:","1.8.8 Приложение «З» к Генеральному пользовательскому соглашению RUTUBE «О рекламной информации в Плеере RUTUBE, Эмбеде Плеера RUTUBE и о соблюдении законодательства о предоставлении информации о рекламе в единый реестр интернет-рекламы (ЕРИР)», размещенное в сети Интернет по адресу: https://rutube.ru/info/erid_embed_ugc/;"
преамбула,"Обязательным условием получения Пользователем доступа к RUTUBE является принятие и соблюдение Пользователем требований и положений, изложенных в Соглашении и следующих документах:","1.8.9 «Политика конфиденциальности RUTUBE», размещенная в сети Интернет по адресу: https://rutube.ru/info/privacy/;"
общие условия,"Администрация (в порядке настоящего пункта - Лицензиар) предоставляет Пользователю (Лицензиату) безвозмездно (если иное не будет оговорено текстом настоящего Соглашения или текстом Обязательных документов или соглашений, регулирующих правила пользования отдельных сервисов RUTUBE), на условиях простой неисключительной лицензии неотчуждаемое и непередаваемое право некоммерческого использования RUTUBE в неизменном виде на территории стран всего мира, путем доступа к функционалу RUTUBE, в целях их использования по прямому функциональному назначению, способами, в объеме и в пределах, определенных настоящим Соглашением и текстом Обязательных документов. Все условия настоящего Соглашения относятся как к RUTUBE в целом, так и ко всем его компонентам, в частности:","2.1.1 Пользователю предоставляется право на ознакомление и просмотр авторской Информации и Контента (Пользовательский контент и/или Правообладательский Контент), а после Прохождения процедуры регистрации: право комментирования Единиц контента (если такой функционал доступен в RUTUBE), право пользования платными услугами RUTUBE и иного взаимодействия с Контентом;"
общие условия,Настоящее Соглашение является смешанным договором по смыслу п. 2 и п.3 ст. 421 ГК РФ.,[]
общие условия,"Пользователь соглашается с тем, что в случае если доступ к RUTUBE предоставляется совместно с рекламой или при условии просмотра рекламы, то Администрации не нужно будет получать специального предварительного согласия Пользователя на получение рекламной информации, т.к. такая рекламная информация адресована неопределенному кругу лиц и не направлена в адрес конкретного Пользователя, а сам Пользователь вправе принимать самостоятельное решение на предмет своей готовности потреблять контент на предлагаемых Администрацией условиях (доведение контента при условии просмотра рекламы) или отказаться от такого потребления. При этом, если получение такого согласия Пользователя (предварительное согласие на получение рекламной информации) требуется в случаях установленных применимым законодательством, то Пользователь соглашается, что запуск RUTUBE, либо открытие окна Плеера RUTUBE, и/или нажатие Пользователем кнопки «Play, считается надлежащим способом предоставления Пользователем Администрации своего предварительного согласия на получение рекламной информации.",[]
порядок регистрации и учетная запись в системе,"Для получения доступа к Контенту и Информации, а также функционалу и к дополнительным сервисам RUTUBE, перечень которых определяется Администрацией в одностороннем порядке (в частности, возможность загрузки, хранения, размещения и классификации Контента, доступа в специализированные разделы RUTUBE и/или к определенному Контенту Правообладателей), Пользователь должен создать в RUTUBE учетную запись (зарегистрироваться) в порядке, предусмотренном п.3.. настоящего Соглашения. При этом, независимо от особенностей, предусмотренных настоящим пунктом для Процедуры регистрации Пользователя в RUTUBE, по усмотрению Администрации, для доступа к любой Единице Контента на RUTUBE, от Пользователя дополнительно может потребоваться авторизация посредством MULTIPASS (или альтернативное, но равнозначное название, RUPASS) или любого иного аналогичного сервиса (в том числе методом ""Внешней авторизации"", см. п.3..1 настоящего Соглашения) по усмотрению Администрации, т.е. с привязкой к Аккаунту Пользователя номера его мобильного телефона и/или актуального адреса электронной почты, независимо от Территории. Пользователи, не прошедшие Процедуру регистрации в RUTUBE (а также, в предусмотренных Администрацией случаях, авторизацию через MULTIPASS) и пытающиеся получить доступ к RUTUBE, могут иметь ограниченный доступ. Ограниченный доступ дает Пользователям исключительно возможность ознакомления с перечнем Контента (и/ или просмотра некоторых Единиц Контента), размещенного в RUTUBE, но без возможности комментирования Контента (если такой функционал доступен в RUTUBE), загрузки Контента, пользования платными услугами RUTUBE и без возможности иного взаимодействия с Контентом. При этом для Пользователей, не прошедших регистрацию в RUTUBE, а также регистрацию / авторизацию в RUTUBE через «MULTIPASS», Администрация вправе полностью ограничить возможность доступа к RUTUBE (как полностью, так и в части отдельных функций и сервисов). В целях предоставления Авторам/Пользователям возможности доступа к Режиму ускоренной публикации, а также предоставления возможности получать расширенный доступ к сервисам и специализированным инструментам RUTUBE, функционалом RUTUBE может быть предусмотрена дополнительная верификация Аккаунта, зарегистрированного в порядке Соглашения, с использованием учетной записи портала «Единая системы идентификации и аутентификации» (далее - «ЕСИА»/«Госуслуги»), условия использования которого размещены в сети Интернет по адресу: https://esia.gosuslugi.ru/registration/policiesTerms.xhtml. Чтобы воспользоваться Режимом ускоренной публикации Пользователям с существующим Аккаунтом RUTUBE, необходимо привязать свою учетную запись ЕСИА к действующему Аккаунту RUTUBE. Регистрация и/или авторизация в RUTUBE посредством ЕСИА, означает согласие Пользователя с Условиями использования ЕСИА. Авторизация посредством ЕСИА доступна только для Аккаунтов физических лиц в RUTUBE. Единовременно с одной учетной записью ЕСИА может быть связан только один Аккаунт RUTUBE. При выборе в интерфейсе авторизационной формы RUTUBE опции «Авторизация через «Госуслуги», Пользователь будет перенаправлен для авторизации на сайт «ЕСИА» (https://esia.gosuslugi.ru/), где Пользователю необходимо предоставить разрешение RUTUBE на получение информации об анкете Пользователя. RUTUBE запрашивает информацию исключительно в том объеме, который необходим для подтверждения факта авторизации в сервисе «ЕСИА».","3.1.1 Пользователь должен создать на RUTUBE Учетную запись с использованием MULTIPASS (или иного аналогичного сервиса по усмотрению Администрации) одним из следующих способов, по своему выбору: a) Посредством указания Пользователем в регистрационной форме MULTIPASS, актуального адреса электронной почты Пользователя и Пароля. При прохождении процедуры регистрации в порядке настоящего подпункта Пользователь самостоятельно устанавливает Пароль для доступа к своей учетной записи. Факт использования Логина и Пароля для авторизации в RUTUBE, либо переход по ссылке, сгенерированной RUTUBE и направленной Пользователю с целью подтверждения адреса электронной почты, указанного Пользователем при прохождении Процедуры регистрации, являются подтверждением права Пользователя на доступ и использование RUTUBE, а также дополнительным и явным способом определения лица, подписывающего/акцептующего настоящее Соглашение и Обязательные документы, в т.ч. для подтверждения волеизъявления Пользователя на совершение действий при использовании RUTUBE, включая подписание договоров, выражение согласия на обработку персональных данных, подтверждение действий в рамках RUTUBE. Администрация вправе запретить использование определенных Логинов, а также устанавливать требования к Логину и Паролю (длина, допустимые символы и т.д.). В дальнейшем указанный Пользователем при регистрации адрес электронной почты будет использоваться в качестве Логина. Для полноценной возможности использовать RUTUBE Пользователю необходимо подтвердить свой адрес электронной почты, указанный при регистрации, для чего ему необходимо перейдите по ссылке в электронном письме, отправленном Пользователю Администрацией на указанный Пользователем адрес электронной почты. Факт использования Логина и Пароля для авторизации в RUTUBE либо переход по ссылке, являются подтверждением права Пользователя на доступ и использование RUTUBE, а также дополнительным и явным способом определения лица, подписывающего/ акцептующего Соглашение и Обязательные документы, в т.ч. для подтверждения волеизъявления Пользователя на совершение действий в RUTUBE, включая подписание договоров, выражение согласия на обработку персональных данных, подтверждение действий в рамках RUTUBE; b) Посредством указания Пользователем в регистрационной форме MULTIPASS номера мобильного телефона Пользователя. При прохождении Процедуры регистрации/ авторизации в порядке настоящего подпункта Пользователю будет направлен цифровой код в виде текста в SMS-сообщении или в виде комбинации последних четырех цифр телефонного номера (входящий звонок). После ввода Пользователем корректного цифрового кода, полученного им одним из указанных выше способов Процедура регистрации/ авторизации в порядке настоящего подпункта считается завершенной. Ввод Пользователем корректного цифрового кода также является подтверждением права Пользователя на доступ и использование RUTUBE, а также дополнительным и явным способом определения лица, подписывающего/ акцептующего настоящее Соглашение и Обязательные документы, в т.ч. для подтверждения волеизъявления Пользователя на совершение действий в рамках RUTUBE. В дальнейшем указанный Пользователем при регистрации номер мобильного телефона будет использоваться в качестве Логина. c) По усмотрению Администрации, Пользователю могут быть доступны иные способы регистрации, которые не перечислены в настоящем пункте Соглашения."
порядок регистрации и учетная запись в системе,"Для получения доступа к Контенту и Информации, а также функционалу и к дополнительным сервисам RUTUBE, перечень которых определяется Администрацией в одностороннем порядке (в частности, возможность загрузки, хранения, размещения и классификации Контента, доступа в специализированные разделы RUTUBE и/или к определенному Контенту Правообладателей), Пользователь должен создать в RUTUBE учетную запись (зарегистрироваться) в порядке, предусмотренном п.3.. настоящего Соглашения. При этом, независимо от особенностей, предусмотренных настоящим пунктом для Процедуры регистрации Пользователя в RUTUBE, по усмотрению Администрации, для доступа к любой Единице Контента на RUTUBE, от Пользователя дополнительно может потребоваться авторизация посредством MULTIPASS (или альтернативное, но равнозначное название, RUPASS) или любого иного аналогичного сервиса (в том числе методом ""Внешней авторизации"", см. п.3..1 настоящего Соглашения) по усмотрению Администрации, т.е. с привязкой к Аккаунту Пользователя номера его мобильного телефона и/или актуального адреса электронной почты, независимо от Территории. Пользователи, не прошедшие Процедуру регистрации в RUTUBE (а также, в предусмотренных Администрацией случаях, авторизацию через MULTIPASS) и пытающиеся получить доступ к RUTUBE, могут иметь ограниченный доступ. Ограниченный доступ дает Пользователям исключительно возможность ознакомления с перечнем Контента (и/ или просмотра некоторых Единиц Контента), размещенного в RUTUBE, но без возможности комментирования Контента (если такой функционал доступен в RUTUBE), загрузки Контента, пользования платными услугами RUTUBE и без возможности иного взаимодействия с Контентом. При этом для Пользователей, не прошедших регистрацию в RUTUBE, а также регистрацию / авторизацию в RUTUBE через «MULTIPASS», Администрация вправе полностью ограничить возможность доступа к RUTUBE (как полностью, так и в части отдельных функций и сервисов). В целях предоставления Авторам/Пользователям возможности доступа к Режиму ускоренной публикации, а также предоставления возможности получать расширенный доступ к сервисам и специализированным инструментам RUTUBE, функционалом RUTUBE может быть предусмотрена дополнительная верификация Аккаунта, зарегистрированного в порядке Соглашения, с использованием учетной записи портала «Единая системы идентификации и аутентификации» (далее - «ЕСИА»/«Госуслуги»), условия использования которого размещены в сети Интернет по адресу: https://esia.gosuslugi.ru/registration/policiesTerms.xhtml. Чтобы воспользоваться Режимом ускоренной публикации Пользователям с существующим Аккаунтом RUTUBE, необходимо привязать свою учетную запись ЕСИА к действующему Аккаунту RUTUBE. Регистрация и/или авторизация в RUTUBE посредством ЕСИА, означает согласие Пользователя с Условиями использования ЕСИА. Авторизация посредством ЕСИА доступна только для Аккаунтов физических лиц в RUTUBE. Единовременно с одной учетной записью ЕСИА может быть связан только один Аккаунт RUTUBE. При выборе в интерфейсе авторизационной формы RUTUBE опции «Авторизация через «Госуслуги», Пользователь будет перенаправлен для авторизации на сайт «ЕСИА» (https://esia.gosuslugi.ru/), где Пользователю необходимо предоставить разрешение RUTUBE на получение информации об анкете Пользователя. RUTUBE запрашивает информацию исключительно в том объеме, который необходим для подтверждения факта авторизации в сервисе «ЕСИА».","3.1.2 После прохождения Процедуры регистрации способами, указанными в п. 3.1.1 Соглашения, от Пользователя в его Личном кабинете может потребоваться заполнение дополнительных анкетных данных (в т.ч. актуальный адрес электронной почты Пользователя, если Процедура регистрации осуществлялась в порядке пп. b п. 3.1.1 Соглашения), с целью получения возможности полноценно использовать RUTUBE (включая, возможности, описанные в п.2.1.2 Соглашения)."
порядок регистрации и учетная запись в системе,"Для получения доступа к Контенту и Информации, а также функционалу и к дополнительным сервисам RUTUBE, перечень которых определяется Администрацией в одностороннем порядке (в частности, возможность загрузки, хранения, размещения и классификации Контента, доступа в специализированные разделы RUTUBE и/или к определенному Контенту Правообладателей), Пользователь должен создать в RUTUBE учетную запись (зарегистрироваться) в порядке, предусмотренном п.3.. настоящего Соглашения. При этом, независимо от особенностей, предусмотренных настоящим пунктом для Процедуры регистрации Пользователя в RUTUBE, по усмотрению Администрации, для доступа к любой Единице Контента на RUTUBE, от Пользователя дополнительно может потребоваться авторизация посредством MULTIPASS (или альтернативное, но равнозначное название, RUPASS) или любого иного аналогичного сервиса (в том числе методом ""Внешней авторизации"", см. п.3..1 настоящего Соглашения) по усмотрению Администрации, т.е. с привязкой к Аккаунту Пользователя номера его мобильного телефона и/или актуального адреса электронной почты, независимо от Территории. Пользователи, не прошедшие Процедуру регистрации в RUTUBE (а также, в предусмотренных Администрацией случаях, авторизацию через MULTIPASS) и пытающиеся получить доступ к RUTUBE, могут иметь ограниченный доступ. Ограниченный доступ дает Пользователям исключительно возможность ознакомления с перечнем Контента (и/ или просмотра некоторых Единиц Контента), размещенного в RUTUBE, но без возможности комментирования Контента (если такой функционал доступен в RUTUBE), загрузки Контента, пользования платными услугами RUTUBE и без возможности иного взаимодействия с Контентом. При этом для Пользователей, не прошедших регистрацию в RUTUBE, а также регистрацию / авторизацию в RUTUBE через «MULTIPASS», Администрация вправе полностью ограничить возможность доступа к RUTUBE (как полностью, так и в части отдельных функций и сервисов). В целях предоставления Авторам/Пользователям возможности доступа к Режиму ускоренной публикации, а также предоставления возможности получать расширенный доступ к сервисам и специализированным инструментам RUTUBE, функционалом RUTUBE может быть предусмотрена дополнительная верификация Аккаунта, зарегистрированного в порядке Соглашения, с использованием учетной записи портала «Единая системы идентификации и аутентификации» (далее - «ЕСИА»/«Госуслуги»), условия использования которого размещены в сети Интернет по адресу: https://esia.gosuslugi.ru/registration/policiesTerms.xhtml. Чтобы воспользоваться Режимом ускоренной публикации Пользователям с существующим Аккаунтом RUTUBE, необходимо привязать свою учетную запись ЕСИА к действующему Аккаунту RUTUBE. Регистрация и/или авторизация в RUTUBE посредством ЕСИА, означает согласие Пользователя с Условиями использования ЕСИА. Авторизация посредством ЕСИА доступна только для Аккаунтов физических лиц в RUTUBE. Единовременно с одной учетной записью ЕСИА может быть связан только один Аккаунт RUTUBE. При выборе в интерфейсе авторизационной формы RUTUBE опции «Авторизация через «Госуслуги», Пользователь будет перенаправлен для авторизации на сайт «ЕСИА» (https://esia.gosuslugi.ru/), где Пользователю необходимо предоставить разрешение RUTUBE на получение информации об анкете Пользователя. RUTUBE запрашивает информацию исключительно в том объеме, который необходим для подтверждения факта авторизации в сервисе «ЕСИА».","3.1.3 После авторизации Пользователя в RUTUBE в порядке пп.a п. 3.1.1 Соглашения, учетные данные Пользователя могут быть автоматически сохранены в браузере Устройства до выхода Пользователя из своей учетной записи в RUTUBE и не требовать дополнительного ввода Лоина и Пароля при каждом использовании RUTUBE. Также, Администрация доводит до сведения Пользователя, что для получения доступа к Контенту, Пользователю в отдельных случаях может потребоваться повторная авторизация в RUTUBE через MULTIPASS. (i) функциональными возможностями Сайта, Пользователю может быть предоставлено право внешней авторизации/ регистрации в аккаунте Пользователя в RUTUBE с использованием данных, собираемых от некоторых сторонних OAuth-провайдеров и сервисов третьих лиц (включая, но ограничиваясь: Яндекс ID, VK ID, OK ID (часть VK ID), ГИД ID и пр. ). Под внешней авторизацией/ регистрацией аккаунта в RUTUBE понимается синхронизация данных аккаунта Пользователя в RUTUBE с данными полученными от стороннего OAuth-провайдера и/или сервиса третьего лица. (ii) Используя возможность внешней авторизации/ регистрации аккаунта  RUTUBE, а также в зависимости от настроек служб соответствующего стороннего OAuth-провайдера и(или) подобных сервисов третьих лиц, некоторые сервисы RUTUBE могут предусматривать автоматическую синхронизацию данных  аккаунта Пользователя в  RUTUBE с данными его аккаунта в соответствующем сервисе RUTUBE, и(или) в его аккаунте соответствующего стороннего OAuth-провайдера и(или) подобных сервисов третьих лиц (например с данными аккаунта ГИД ID; https://auth.gid.ru, и сервисов третьих лиц - из числа Партнеров ГИД ID, указанных по ссылке https://auth.gid.ru/legal/partners, и синхронизацию с аккаунтами Пользователя которых, была разрешена Пользователем в сервисе ГИД ID). В указанном случае внешняя авторизация/ регистрация аккаунта RUTUBE повлечет синхронизацию данных аккаунта Пользователя в RUTUBE с данными его аккаунта в соответствующем сервисе RUTUBE, или сервисе соответствующего стороннего OAuth-провайдера и(или) подобных сервисов третьих лиц. В случае отключения возможности авторизации в аккаунте RUTUBE через стороннего OAuth-провайдера или отключения сервиса, с использованием данных которого была осуществлена внешняя авторизация, аккаунт Пользователя перестает быть авторизованным, при этом синхронизированные ранее данные остаются в неизменном виде. При реализации возможности внешней авторизации/ регистрации аккаунта  RUTUBE, данные для входа в Учетную запись могут быть использованы Пользователем для авторизации/ регистрации на ресурсах третьих лиц (ресурсах партнеров), допускающих указанную возможность, с последующим созданием технологической связи с выбранным Пользователем доступным в RUTUBE для внешней авторизации/ регистрации сервиса OAuth-провайдера. При этом, использование такого способа авторизации/ регистрации может потребовать от Пользователя соблюдения отдельных условий, в том числе условий использования персональных и иных данных ресурсами третьих лиц. Выбирая данные тип авторизации/ регистрации с использованием данных, Пользователь соглашается с условиями ее осуществления."
