,class_1,class_2,question,top_0,top_1,top_2,top_3,top_4,top_5
12,МОДЕРАЦИЯ,Отклонение/блокировка видео,У контента из интернета есть авторские права,Какие материалы защищены авторским правом,Можно ли свободно использовать материалы из интернета или из общего доступа,Кому принадлежат авторские права на контент который я размещаю на платформе,Кто такой правообладатель и как им стать,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Авторское право
13,МОДЕРАЦИЯ,Отклонение/блокировка видео,Что защищено авторским правом Какие материалы,Какие материалы защищены авторским правом,Можно ли свободно использовать материалы из интернета или из общего доступа,Какой контент можно использовать для монетизации то есть в коммерческих целях,Нарушает ли авторские права использование образа персонажа игры фильма сериала,Как подтвердить права на использование контента для монетизации,Авторское право
14,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Какие документы нужны для восстановления монетизации ели это чужие видео,Как подтвердить права на использование контента для монетизации,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Какие документы нужны для заявки на монетизацию,Какие документы нужны для заявки на монетизацию,Могу ли я монетизировать видеоролики которые ранее загружались на RUTUBE другими пользователями,Авторское право
15,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Добрый день я бы хотел узнать какие документы я должен предоставить чтобы мог загружать определенные фильмы и мультфильмы у меня есть разрешения на некоторые фильмы и мультфильмы просто надо включить монетизацию,Как подтвердить права на использование контента для монетизации,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Какие документы нужны для заявки на монетизацию,Какие документы нужны для заявки на монетизацию,С какого возраста доступна монетизация,Авторское право
16,МОДЕРАЦИЯ,Отклонение/блокировка видео,Если я видео размещаю авторские права у вас будут,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Кому принадлежат авторские права на контент который я размещаю на платформе,Кто такой правообладатель и как им стать,Почему могут отключить монетизацию из за авторского права на видео и как этого избежать,Кто такой автор блогер и как им стать,Монетизация
17,МОДЕРАЦИЯ,Отклонение/блокировка видео,кто правообладатель аорских прав на размещенный ролик на канале,Кто может получить верификацию,В каком порядке публикуются и отображаются видео на канале,Кому принадлежат авторские права на контент который я размещаю на платформе,Это мой ролик я не давал разрешение на его публикацию,Кто такой правообладатель и как им стать,Верификация
18,МОДЕРАЦИЯ,Отклонение/блокировка видео,Кому принадлежат авторские права на данный контент,Кому принадлежат авторские права на контент который я размещаю на платформе,Какие материалы защищены авторским правом,Кто такой правообладатель и как им стать,Почему вы не разглашаете чьи авторские права я нарушаю,Какой контент можно использовать для монетизации то есть в коммерческих целях,Авторское право
19,МОДЕРАЦИЯ,Отклонение/блокировка видео,пройдет видео модерация если цитировать чужие материалы,Можно ли цитировать чужие произведения,Могу ли я использовать небольшие фрагменты фильмов для создания своих видео,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Можно ли публиковать видео с чтением чужих книг и их переводов,Что такое модерация на RUTUBE,Авторское право
20,МОДЕРАЦИЯ,Отклонение/блокировка видео,Могу я в видео процитировать произведение известного нейрохирурга,Можно ли цитировать чужие произведения,Могу ли я использовать небольшие фрагменты фильмов для создания своих видео,Можно ли публиковать видео с чтением чужих книг и их переводов,Можно ли использовать в видео материалы которые распространяются по свободной лицензии,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Авторское право
21,МОДЕРАЦИЯ,Отклонение/блокировка видео,Не запрещено цитировать произведения,Можно ли цитировать чужие произведения,Можно ли публиковать видео с чтением чужих книг и их переводов,Можно ли свободно использовать материалы из интернета или из общего доступа,Могу ли я использовать небольшие фрагменты фильмов для создания своих видео,Какие материалы защищены авторским правом,Авторское право
22,МОДЕРАЦИЯ,Отклонение/блокировка видео,Пытался загрузить фильм и получаю Видео удалено за нарушение пользовательского соглашения почему так,Что значит «Ваше видео отклонено»,Не получается загрузить видеоролик — появляется окно с просьбой подтвердить e mail но я его уже подтвердил,Это мой ролик я не давал разрешение на его публикацию,При загрузке ролика возникает ошибка,Можно ли скачать видео с RUTUBE,Модерация
23,МОДЕРАЦИЯ,Отклонение/блокировка видео,можно ли делать вставки из чужие роликов мини фильмов будет опубликовано,Могу ли я использовать небольшие фрагменты фильмов для создания своих видео,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Можно ли эмбедировать встраивать трансляции на сторонние сайты,Можно ли эмбедировать встраивать приватные трансляции на сторонние сайты,Какое минимальное время может быть между отложенными публикациями,Авторское право
24,МОДЕРАЦИЯ,Отклонение/блокировка видео,Если беру материалы для публикации интернета надо вам что то предоставлять,Можно ли свободно использовать материалы из интернета или из общего доступа,Как подтвердить права на использование контента для монетизации,Кто такой правообладатель и как им стать,Какие материалы защищены авторским правом,Как мне получать донаты за публикации,Авторское право
25,МОДЕРАЦИЯ,Отклонение/блокировка видео,ролики из инета защищены авторским правом,Какие материалы защищены авторским правом,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Могу ли я использовать небольшие фрагменты фильмов для создания своих видео,Почему могут отключить монетизацию из за авторского права на видео и как этого избежать,Могу ли я скачать видеоролик с RUTUBE на свой компьютер,Авторское право
26,МОДЕРАЦИЯ,Отклонение/блокировка видео,Что сделать чтобы использовать в видео материалы которые распространяются по свободной лицензии,Можно ли использовать в видео материалы которые распространяются по свободной лицензии,Могу ли я использовать небольшие фрагменты фильмов для создания своих видео,Какой контент можно использовать для монетизации то есть в коммерческих целях,Можно ли свободно использовать материалы из интернета или из общего доступа,Как подтвердить права на использование контента для монетизации,Авторское право
27,МОДЕРАЦИЯ,Отклонение/блокировка видео,Могу я использовать музыку которая распространяется по свободной лицензии,Можно ли использовать в видео материалы которые распространяются по свободной лицензии,Можно ли на RUTUBE стримить музыку,Какой контент можно использовать для монетизации то есть в коммерческих целях,Можно ли свободно использовать материалы из интернета или из общего доступа,Могу ли я использовать небольшие фрагменты фильмов для создания своих видео,Авторское право
28,МОДЕРАЦИЯ,Отклонение/блокировка видео,Какие видео с чтением чужих книг можно публиковать,Можно ли публиковать видео с чтением чужих книг и их переводов,Можно ли цитировать чужие произведения,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Могу ли я использовать небольшие фрагменты фильмов для создания своих видео,Что нельзя публиковать на RUTUBE,Авторское право
29,МОДЕРАЦИЯ,Отклонение/блокировка видео,ВОПРОС ОБ ОТКАЗЕ ОТ ПУБЛИКОВАНИЯ ПРОИЗВЕДЕНИЯ ОБЩЕСТВЕННОГО ДОСТОЯНИЯ БУДЕТ ТАКОЕ,Это мой ролик я не давал разрешение на его публикацию,Что я могу и что не могу делать во время стрима,Можно ли цитировать чужие произведения,Почему могут отключить монетизацию из за авторского права на видео и как этого избежать,Что проверяют при модерации,Общие вопросы
30,МОДЕРАЦИЯ,Отклонение/блокировка видео,Что за переход в общественное достояние,Можно ли публиковать видео с чтением чужих книг и их переводов,Это мой ролик я не давал разрешение на его публикацию,Я хочу оформить монетизацию на другого человека Нужно ли переоформлять канал на него,Кто такой правообладатель и как им стать,Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей,Авторское право
31,МОДЕРАЦИЯ,Отклонение/блокировка видео,через сколько лет переход общественное достояние,Можно ли публиковать видео с чтением чужих книг и их переводов,С какого возраста доступна монетизация,С какого возраста доступна монетизация,Как долго рассматривается повторная заявка на монетизацию,Как долго рассматривается заявка на монетизацию,Авторское право
32,МОДЕРАЦИЯ,Отклонение/блокировка видео,произведние в общественном достоянии О чем это,Какие материалы защищены авторским правом,Это мой ролик я не давал разрешение на его публикацию,Можно ли свободно использовать материалы из интернета или из общего доступа,Кто такой правообладатель и как им стать,Какой контент можно использовать для монетизации то есть в коммерческих целях,Авторское право
33,МОДЕРАЦИЯ,Отклонение/блокировка видео,Почему не скажете кому пренадлежат эти права,Почему вы не разглашаете чьи авторские права я нарушаю,Кто такой правообладатель и как им стать,Это мой ролик я не давал разрешение на его публикацию,Куда я могу отправить уведомление об исключительности прав,Можно ли предоставить доступ к студии канала другому пользователю по id канала,Авторское право
34,МОДЕРАЦИЯ,Отклонение/блокировка видео,Кто этот правообладатель прав почему не уведомляете фамилией,Почему вы не разглашаете чьи авторские права я нарушаю,Кто такой правообладатель и как им стать,Это мой ролик я не давал разрешение на его публикацию,Куда я могу отправить уведомление об исключительности прав,Можно ли предоставить доступ к студии канала другому пользователю по id канала,Авторское право
35,МОДЕРАЦИЯ,Нарушение авторских прав,Некоторые комментарии и видео фильтры Рутуба почему то пропускают Пожаловаться тоже непонятно как среди сотен отзывов весьма проблематично Спасибо,Как пожаловаться на видео если оно нарушает авторские права,Что делать если модерация в RUTUBE не пройдена  Что делать если мое видео отклонено,При загрузке ролика возникает ошибка,Не могу посмотреть ролик в хорошем качестве,Я не могу войти на сайт мой аккаунт заблокирован,Авторское право
36,МОДЕРАЦИЯ,Нарушение авторских прав,Доброго дня хочу пожаловаться на видео В этом видео автор канала просит скидывать денежные средства на электронные кошельки указанные в описание к видео при этом не предоставив никаких документов Усматривают в этом нарушение законодательства РФ а именно  статью УК РФ Попрошайничество и статья мошенничество  УК РФ Прошу незамедлительно заблокировать данное видео на вашей платформе,Я нашел на RUTUBE ролик нарушающий ваши правила или противоречащий законам РФ,Это мой ролик я не давал разрешение на его публикацию,Как пожаловаться на видео если оно нарушает авторские права,Почему заявка может быть отклонена,Не получается загрузить видеоролик — появляется окно с просьбой подтвердить e mail но я его уже подтвердил,Общие вопросы
37,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,Помимо обычного рутуба есть какое то приложение для автора что это,Что такое мобильное приложение Студия RUTUBE,Что такое мобильное приложение Студия RUTUBE,Какие функции доступны в приложении Студия RUTUBE,Как мне получать донаты за публикации,Кто такой автор блогер и как им стать,Мобильное приложение Студия RUTUBE на Android
38,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,Сделайт уже студию для андроида,На каких операционных системах доступно приложение Студия RUTUBE,Что такое мобильное приложение Студия RUTUBE,Какие функции доступны в приложении Студия RUTUBE,Можно ли в приложении Студия RUTUBE создавать и вести трансляции,Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом,Мобильное приложение Студия RUTUBE на Android
39,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,не хочу пользоваться студией с ноутбука хочу с телефона,Как авторизоваться в приложении Студия RUTUBE,Как авторизоваться в приложении Студия RUTUBE,Как выйти из аккаунта в приложении Студия RUTUBE,Как выйти из аккаунта в приложении Студия RUTUBE,Не могу зарегистрироваться авторизоваться в приложении Студия RUTUBE Что делать,Мобильное приложение Студия RUTUBE на Android
40,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,Что можно делать в приложени ситудии,Какие функции доступны в приложении Студия RUTUBE,Какие функции доступны в приложении Студия RUTUBE,Можно ли в приложении Студия RUTUBE создавать и вести трансляции,Что такое мобильное приложение Студия RUTUBE,Что такое мобильное приложение Студия RUTUBE,Мобильное приложение Студия RUTUBE на Android
41,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,Никак с приложения нельзя посмотреть аналитику по каналу,Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE,Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE,В приложении RUTUBE для ТВ недоступны каналы СТС Рен ТВ Че Домашний что делать,Что делать если видео недоступно только на ТВ Ошибка «Этот контент доступен только на сайте rutube ru»,Что делать если производитель больше не поддерживает модель телевизора а приложения RUTUBE нет в магазине приложений,Мобильное приложение Студия RUTUBE на IOS
42,ДОСТУП К RUTUBE,Приложение ,на всех устройствах доступно прилоежние студии,На каких операционных системах доступно приложение Студия RUTUBE,На каких операционных системах доступно приложение Студия RUTUBE,Где посмотреть к каким студиям мне предоставлен доступ,Доступно ли приложение Студия RUTUBE на планшетах,Какие функции доступны в приложении Студия RUTUBE,Мобильное приложение Студия RUTUBE на Android
43,ДОСТУП К RUTUBE,Приложение ,Здравствуйте Хочу скачать ваше приложение студии для устройства SberPortal но не могу инфу на вашем сайте с каких версий доступно,Как узнать версию приложения Студия RUTUBE,Как узнать версию приложения Студия RUTUBE,На каких операционных системах доступно приложение Студия RUTUBE,Где можно скачать приложение Студия RUTUBE,На каких операционных системах доступно приложение Студия RUTUBE,Мобильное приложение Студия RUTUBE на IOS
44,ОТСУТСТВУЕТ,Отсутствует,где посмотреть версию в студии на айос,Как узнать версию приложения Студия RUTUBE,Как узнать версию приложения Студия RUTUBE,На каких операционных системах доступно приложение Студия RUTUBE,Можно ли работать с комментариями в приложении Студия RUTUBE,Можно ли выдать доступы к студии канала через приложение Студия RUTUBE,Мобильное приложение Студия RUTUBE на IOS
45,ОТСУТСТВУЕТ,Отсутствует,Есть ли данные о версии в приложения Студия RUTUBE ios,Как узнать версию приложения Студия RUTUBE,Как узнать версию приложения Студия RUTUBE,На каких операционных системах доступно приложение Студия RUTUBE,На каких операционных системах доступно приложение Студия RUTUBE,Какие функции доступны в приложении Студия RUTUBE,Мобильное приложение Студия RUTUBE на IOS
46,ОТСУТСТВУЕТ,Отсутствует,где увидеть цифры версии вы запрашиваете а я не могу найти Уже посмотрела везде как я должна узнать у меня айфон,Как узнать версию приложения Студия RUTUBE,Как узнать версию приложения Студия RUTUBE,Не вижу раздел «Моё» что делать,Не могу зарегистрироваться авторизоваться в приложении Студия RUTUBE Что делать,На каких операционных системах доступно приложение Студия RUTUBE,Мобильное приложение Студия RUTUBE на IOS
47,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,Какой логин указывать в студии на смартфоне Вхожу первый ра у меня айфон  если надо,Как зарегистрироваться в приложении Студия RUTUBE,Как зарегистрироваться в приложении Студия RUTUBE,Как авторизоваться в приложении Студия RUTUBE,Как авторизоваться в приложении Студия RUTUBE,Не могу зарегистрироваться авторизоваться в приложении Студия RUTUBE Что делать,Мобильное приложение Студия RUTUBE на IOS
48,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,Можно ли регистрироваться в студии приложении ios на почту,Как зарегистрироваться в приложении Студия RUTUBE,Как авторизоваться в приложении Студия RUTUBE,Как зарегистрироваться в приложении Студия RUTUBE,Не могу зарегистрироваться авторизоваться в приложении Студия RUTUBE Что делать,Как авторизоваться в приложении Студия RUTUBE,Мобильное приложение Студия RUTUBE на IOS
49,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,Какой логин указывать в студии на смартфоне Забыла почта или номер нужен,Как авторизоваться в приложении Студия RUTUBE,Как авторизоваться в приложении Студия RUTUBE,Как зарегистрироваться в приложении Студия RUTUBE,Как зарегистрироваться в приложении Студия RUTUBE,Какие данные пользователя потребуются чтобы предоставить доступ к студии моего канала,Мобильное приложение Студия RUTUBE на Android
50,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,Можно ли регистрироваться в студии приложении на почту,Как зарегистрироваться в приложении Студия RUTUBE,Как зарегистрироваться в приложении Студия RUTUBE,Как авторизоваться в приложении Студия RUTUBE,Как авторизоваться в приложении Студия RUTUBE,Не могу зарегистрироваться авторизоваться в приложении Студия RUTUBE Что делать,Мобильное приложение Студия RUTUBE на Android
51,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,МОЖНО ПОВТОРНО ВОЙТИ В ПРИЛОЖЕНИЕ СТУДИИ,Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом,Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом,Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с правами просмотра,Как долго рассматривается повторная заявка на монетизацию,По какой ссылке доступна запись трансляции,Мобильное приложение Студия RUTUBE на Android
52,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,Можно ли сделать так чтобы в приложении студии и обычном приложении рутуба был один канал,Может ли один пользователь занимать сразу несколько ролей доступа в рамках студии одного канала,К какому количеству студий может быть одновременно предоставлен доступ одному пользователю,Можно ли управлять другим каналом через приложение Студия RUTUBE,Можно ли управлять другим каналом через приложение Студия RUTUBE,Можно ли выдать доступы к студии канала через приложение Студия RUTUBE,Предоставление доступа к каналу в Студии RUTUBE 
53,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,как можно выполнить вход в приложении Студия RUTUBE с пароле или без,Можно ли авторизоваться выполнить вход в приложении Студия RUTUBE без ввода проверочного кода,Можно ли авторизоваться выполнить вход в приложении Студия RUTUBE без ввода проверочного кода,Как авторизоваться в приложении Студия RUTUBE,Как авторизоваться в приложении Студия RUTUBE,Как зарегистрироваться в приложении Студия RUTUBE,Мобильное приложение Студия RUTUBE на Android
